age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two,response
55,0,M,Male,0,1,0,0,1,1
43,1,M,Male,0,1,1,0,1,1
24,0,F,Male,0,15,0,1,0,1
28,0,F,Male,1,15,1,1,0,1
27,0,M,Male,8,0,1,0,1,0
29,0,F,Male,2,1,0,1,0,1
26,1,F,Male,0,1,1,1,1,1
23,1,F,Male,3,9,0,1,0,1
25,1,F,Male,7,0,1,0,0,0
31,0,F,Male,15,-1,1,0,0,0
37,0,F,Female,7,1,1,0,1,1
30,1,F,Male,8,1,1,1,1,0
34,1,F,Male,11,0,1,0,0,0
20,0,M,Male,0,3,0,0,0,1
50,0,M,Male,4,26,0,1,0,1
24,0,F,Male,0,1,1,0,0,1
61,0,F,Female,15,0,0,1,0,1
25,0,F,Male,4,1,0,1,1,0
23,1,F,Male,11,3,0,0,1,0
32,1,M,Male,9,4,0,0,0,1
51,0,F,Male,1,6,0,1,0,1
24,1,M,Male,1,2,1,1,1,1
54,0,M,Male,0,-1,0,0,0,1
60,0,F,Male,0,0,0,0,0,1
31,1,F,Male,9,470,0,1,1,1
50,1,F,Male,9,424,0,0,1,1
24,1,F,Male,1,0,1,1,0,1
59,0,M,Male,0,1,0,0,0,1
24,0,F,Male,0,0,0,1,0,1
36,1,F,Male,9,19,0,0,1,1
24,0,F,Female,0,0,1,0,1,1
26,0,F,Female,1,3,0,1,0,0
50,1,M,Male,2,0,1,0,0,1
21,0,F,Male,1,8,1,0,1,0
63,1,F,Male,10,2,0,1,0,1
46,0,M,Male,0,0,0,1,0,1
29,1,F,Male,8,13,1,1,1,0
41,0,M,Male,0,0,0,1,1,1
29,0,F,Female,11,0,1,0,0,0
35,1,M,Male,17,2,1,0,1,1
39,0,M,Male,0,1,1,0,1,1
37,1,F,Male,0,1,0,1,1,1
51,0,M,Male,17,0,1,1,1,1
30,1,M,Male,1,0,0,0,1,1
32,1,M,Male,6,9,0,1,0,1
24,1,M,Female,9,8,0,1,0,0
26,0,M,Male,2,2,1,0,1,1
27,1,F,Female,3,1,1,1,0,1
22,1,F,Male,2,1,1,1,0,1
24,1,F,Female,3,1,1,0,1,0
21,1,F,Female,0,0,0,1,0,1
58,0,F,Male,1,79,0,0,0,1
20,0,M,Female,0,0,1,1,1,1
25,1,M,Male,0,1,0,1,0,1
34,1,F,Male,11,1,1,1,1,0
23,1,F,Male,3,41,0,0,0,1
28,1,F,Male,1,30,0,0,1,1
50,1,F,Male,5,1,0,1,0,1
52,0,M,Male,1,1,0,0,0,1
64,0,F,Male,20,2,1,0,0,1
20,1,M,Male,0,1,1,1,0,1
30,0,F,Male,1,1,0,1,0,0
37,0,M,Male,1,0,0,1,0,1
25,1,F,Male,0,3,0,0,1,1
31,0,M,Male,0,0,1,1,0,1
57,0,F,Male,3,1,0,1,1,1
33,1,F,Male,2,-1,1,0,0,0
57,0,F,Male,12,50,1,1,1,0
29,0,M,Male,0,0,0,1,0,1
27,1,M,Male,3,6,1,1,1,1
25,0,M,Female,0,0,0,1,0,1
29,0,F,Female,1,1,0,0,0,1
31,1,M,Male,12,40,1,0,0,0
29,1,F,Male,16,0,1,1,1,0
22,0,F,Male,0,1,1,0,0,1
33,1,F,Female,0,29,1,0,1,0
20,0,F,Female,0,0,0,1,0,1
51,1,F,Male,6,2,0,1,1,1
53,0,F,Male,20,3,1,1,1,1
39,1,F,Female,2,0,0,0,1,1
25,0,F,Male,5,36,1,1,1,1
23,0,M,Male,0,0,0,0,0,1
31,0,M,Male,0,38,0,1,0,1
37,0,M,Male,0,1,0,1,1,1
28,1,F,Male,2,42,0,1,1,1
23,1,M,Female,4,133,0,1,0,0
31,1,F,Female,9,26,0,0,1,1
29,0,M,Male,1,43,0,1,0,1
24,0,F,Female,0,0,1,1,0,1
21,1,F,Male,3,0,1,0,1,0
46,0,F,Male,0,0,0,1,0,1
41,1,F,Male,8,0,1,1,1,1
32,0,F,Female,0,0,1,0,1,1
46,1,F,Male,5,-1,0,0,0,0
27,0,F,Male,2,0,1,0,1,1
40,0,F,Male,1,41,0,0,0,1
21,1,M,Male,1,0,1,0,0,1
32,0,M,Male,0,0,1,1,1,1
37,1,F,Male,8,0,0,1,1,1
21,0,F,Male,0,2,0,0,1,1
56,1,M,Male,3,1,1,0,1,1
52,1,F,Male,13,1,0,1,1,1
28,0,F,Male,6,2,0,1,0,1
39,1,M,Male,19,0,1,1,1,1
49,0,F,Female,2,0,0,1,1,1
33,0,F,Male,3,0,1,1,0,1
35,0,M,Male,5,0,0,0,1,1
24,1,F,Male,0,36,0,0,1,1
32,0,M,Male,2,1,1,0,1,1
32,0,F,Male,0,2,1,0,1,1
21,1,F,Male,3,1,0,0,1,0
27,1,M,Male,2,7,1,1,1,1
44,0,M,Female,1,4,0,0,0,1
40,0,F,Male,0,2,1,1,1,1
19,1,F,Female,1,2,1,0,0,1
24,0,F,Male,2,1,0,1,1,1
35,0,F,Male,7,195,1,1,0,1
26,1,M,Male,9,1,0,1,0,1
57,0,M,Male,0,1,0,0,1,1
37,1,F,Male,2,1,0,0,1,1
54,0,F,Male,6,0,0,0,1,1
49,1,F,Male,2,91,0,1,0,1
21,0,F,Male,1,0,0,1,0,1
50,0,F,Male,8,172,0,0,1,1
41,0,F,Male,1,2,1,0,0,1
46,0,M,Female,0,-1,0,1,1,1
27,1,F,Male,25,40,1,0,1,0
27,1,M,Male,8,0,1,0,0,1
24,0,F,Male,0,0,0,0,1,1
29,0,F,Male,0,1,1,1,0,1
32,0,F,Female,5,1,1,0,1,1
21,1,M,Female,0,1,0,0,0,1
48,0,F,Male,2,0,0,0,1,1
33,1,F,Male,11,44,1,0,1,1
22,0,F,Male,3,106,1,0,0,1
24,0,M,Male,1,1,1,1,1,1
31,1,F,Male,11,0,0,1,1,1
28,1,F,Male,11,2,1,0,1,1
34,0,F,Male,0,1,1,0,0,0
28,1,F,Male,9,16,1,1,1,1
64,0,F,Female,0,4,1,1,1,1
34,1,F,Male,16,1,1,0,0,0
40,0,F,Male,0,1,1,0,0,1
32,0,M,Female,0,1,0,0,0,1
39,1,F,Male,13,1,1,1,0,0
35,0,M,Male,2,0,1,1,1,1
22,0,F,Male,0,9,1,1,1,1
32,0,M,Male,0,1,0,0,0,1
42,1,F,Male,17,32,1,0,1,0
26,1,F,Male,1,1,0,1,0,1
26,0,F,Male,0,0,0,0,1,1
27,1,F,Male,14,1,1,0,1,0
35,1,M,Male,0,57,1,0,0,0
45,0,F,Male,8,1,0,1,0,1
47,0,F,Male,1,17,0,1,1,1
29,0,M,Male,1,0,1,0,1,1
25,1,M,Male,0,0,1,0,1,1
60,1,F,Male,19,39,1,0,0,0
50,0,F,Male,0,0,0,1,1,1
26,1,F,Male,3,0,0,0,1,1
20,1,M,Female,0,-1,1,1,1,1
60,0,F,Male,0,1,0,1,0,1
30,0,F,Male,11,117,1,0,1,0
52,0,M,Male,3,0,0,0,1,1
35,1,F,Male,13,0,1,0,1,0
34,0,M,Male,4,0,1,1,1,1
33,0,M,Female,0,0,0,0,0,1
47,0,M,Male,0,1,0,0,1,1
29,0,M,Male,2,1,0,1,0,1
56,0,M,Male,0,0,0,1,0,1
50,1,F,Male,7,1,1,0,0,1
22,0,F,Male,0,35,1,1,0,1
38,0,M,Male,0,1,0,1,1,1
50,1,M,Female,1,0,0,1,1,1
22,1,F,Female,0,0,1,0,1,1
45,1,F,Male,0,1,0,1,0,1
49,0,M,Male,2,1,0,0,1,1
20,0,M,Male,0,1,1,1,1,1
44,0,M,Female,0,1,0,0,1,1
20,1,F,Male,0,1,0,0,1,1
34,0,F,Male,3,1,0,1,1,1
26,0,M,Male,1,0,0,1,1,1
53,0,F,Female,0,0,1,0,1,1
42,0,F,Male,8,1,0,0,1,1
50,0,F,Female,4,13,1,0,0,1
21,1,M,Female,0,0,0,0,1,1
46,1,F,Male,26,167,0,1,1,1
52,0,F,Male,2,1,0,0,1,1
65,1,M,Male,2,5,1,0,1,1
22,0,F,Male,0,1,0,1,1,1
45,1,M,Male,3,92,0,0,1,1
34,0,F,Female,1,2,1,1,1,1
25,0,F,Male,0,1,0,1,0,1
56,0,M,Male,0,0,1,0,1,1
35,0,F,Male,13,0,1,1,1,0
25,1,F,Male,0,-1,1,0,1,0
28,0,M,Male,2,0,1,0,1,1
31,0,F,Male,1,1,1,0,1,1
33,0,M,Female,1,0,0,0,0,1
21,0,F,Male,0,2,1,0,0,0
28,0,F,Female,1,38,1,1,1,0
27,1,F,Male,10,0,1,1,0,0
25,1,F,Male,4,32,1,1,0,1
28,0,M,Male,2,13,0,1,1,1
22,1,F,Male,2,1,1,1,1,1
36,1,M,Female,4,1,1,1,0,1
48,1,F,Female,4,1,0,0,0,1
28,1,F,Male,1,5,1,0,0,1
34,0,F,Male,0,0,0,1,0,1
33,0,F,Male,3,0,0,0,0,1
32,1,F,Male,0,0,1,1,0,1
62,0,F,Male,0,1,0,1,1,1
32,1,F,Male,4,1,1,1,1,1
40,1,F,Male,4,33,0,1,1,1
60,1,M,Male,1,1,0,0,1,1
28,1,F,Male,20,0,1,0,0,0
39,0,M,Male,0,0,0,0,0,1
21,0,M,Male,1,1,1,1,0,1
46,0,F,Male,0,5,0,0,1,1
52,0,F,Female,1,0,1,0,1,1
23,0,F,Male,3,1,1,0,1,1
27,1,F,Male,3,0,1,1,1,0
25,1,M,Male,0,4,1,0,1,1
52,0,F,Male,8,39,0,1,0,1
28,0,F,Male,12,1,1,1,0,1
29,1,F,Male,6,0,1,1,1,0
45,0,M,Female,1,0,0,0,0,1
49,0,M,Male,2,1,0,0,1,1
55,0,F,Male,0,0,0,0,1,1
42,1,F,Female,1,21,0,1,0,1
28,1,F,Male,0,0,0,0,1,1
31,1,F,Male,13,1,1,0,0,0
38,1,F,Male,10,10,1,0,0,1
33,1,M,Female,0,1,0,1,0,1
25,1,F,Male,11,6,1,1,0,0
30,0,F,Male,1,70,1,1,1,1
23,0,F,Female,1,1,1,1,1,0
27,0,F,Female,3,0,1,1,1,1
30,1,M,Male,3,2,0,0,1,1
25,1,F,Male,0,1,0,1,0,0
26,1,M,Male,10,0,0,1,1,0
37,0,F,Male,24,19,1,0,0,0
50,0,F,Male,0,0,1,0,0,1
26,1,F,Male,13,-1,1,1,0,0
30,1,F,Female,9,243,1,0,0,0
59,1,M,Male,2,0,0,1,1,1
22,0,M,Male,0,1,0,1,1,1
28,0,M,Male,1,1,1,0,0,1
30,1,F,Male,14,2,1,0,0,0
44,0,F,Female,6,2,1,0,1,1
29,0,M,Male,0,-1,0,0,1,1
59,0,F,Male,0,0,0,1,1,1
58,1,F,Male,4,0,0,1,1,1
45,1,M,Male,0,3,0,1,0,1
28,1,M,Male,2,2,1,1,0,1
37,0,M,Male,1,0,0,0,0,1
25,1,F,Male,4,0,1,0,0,0
46,0,F,Female,1,0,0,0,1,1
32,1,M,Male,4,1,0,1,1,1
37,0,F,Male,1,5,0,0,0,1
29,0,M,Male,2,0,0,0,1,1
28,0,F,Male,6,0,1,0,0,1
22,0,F,Female,0,0,1,1,1,0
33,1,F,Male,3,11,1,1,0,1
41,0,F,Male,1,62,0,0,0,1
31,0,M,Female,0,4,1,0,1,1
20,1,F,Male,3,21,1,1,1,1
42,0,M,Male,1,0,0,1,1,1
37,0,F,Male,13,1,0,1,0,1
34,0,F,Male,1,4,0,1,0,1
27,0,M,Male,1,31,0,1,0,1
38,0,M,Male,8,15,1,0,1,1
24,0,F,Male,0,0,0,1,0,1
36,1,F,Male,14,173,1,0,1,1
28,1,M,Male,0,2,0,1,1,1
23,0,M,Female,0,2,1,1,0,1
32,1,F,Male,15,70,0,0,1,0
46,1,F,Male,10,73,0,1,0,1
22,1,F,Male,1,1,1,0,0,1
27,0,M,Female,0,0,0,0,0,1
43,1,F,Female,2,1,1,0,0,1
35,0,M,Female,0,0,1,0,1,1
40,0,F,Female,0,4,0,1,0,1
49,0,M,Male,1,4,0,1,1,1
23,0,M,Female,0,0,0,1,1,1
24,1,F,Male,4,1,1,0,1,1
47,0,F,Male,9,64,1,0,1,1
28,1,F,Female,13,32,1,0,0,0
40,1,M,Male,0,0,0,1,1,1
27,0,F,Male,10,0,1,0,0,1
32,0,M,Female,0,0,1,0,0,1
20,1,F,Male,1,13,0,1,1,0
21,1,F,Male,2,1,0,1,0,1
37,0,M,Female,0,0,1,1,0,1
37,1,M,Male,4,75,1,1,0,1
26,0,M,Male,1,1,0,1,0,1
37,0,F,Female,1,1,0,1,1,1
37,0,M,Male,2,0,0,0,0,1
24,0,F,Male,0,1,0,0,1,1
21,1,M,Male,0,9,0,1,0,0
27,0,M,Male,3,0,0,1,0,1
23,0,M,Female,1,0,1,1,1,1
35,0,F,Male,0,0,1,1,0,1
28,1,F,Female,0,0,0,1,1,1
26,1,F,Male,9,79,1,0,1,0
55,0,M,Male,0,1,0,1,0,1
23,1,F,Male,1,9,1,0,1,0
57,0,F,Male,1,19,0,0,1,1
23,0,M,Female,0,0,0,0,1,1
37,1,F,Male,4,1,0,1,1,1
48,1,F,Male,2,1,1,0,0,1
20,1,M,Female,0,1,1,1,0,1
30,1,F,Male,8,1,1,0,0,0
74,0,F,Female,0,0,1,0,0,1
34,1,F,Male,8,4,1,0,0,1
29,1,F,Male,5,1,1,1,1,1
24,1,F,Male,11,0,0,0,0,0
37,1,F,Male,2,0,1,0,0,1
28,1,F,Male,5,2,1,0,1,1
26,0,M,Male,0,2,1,1,0,1
27,1,M,Male,2,1,0,1,1,1
40,0,F,Male,20,1,1,1,1,1
30,0,F,Male,0,0,0,0,1,1
35,0,M,Male,0,1,0,0,0,1
22,1,F,Male,0,1,1,1,1,1
19,1,M,Male,0,2,0,0,0,0
22,0,F,Female,1,13,1,0,0,1
39,0,F,Male,5,4,1,0,1,1
21,0,F,Male,0,0,1,1,1,1
41,0,F,Female,2,15,0,1,1,1
42,0,M,Male,0,4,0,0,1,1
70,0,M,Male,0,0,0,0,1,1
34,0,F,Male,0,108,0,1,1,1
50,0,M,Male,4,2,1,1,0,1
58,0,F,Male,6,144,1,0,1,1
27,1,F,Male,4,34,1,0,0,0
27,0,M,Male,3,1,1,0,1,1
46,0,M,Female,0,1,0,0,0,1
59,0,M,Male,1,62,1,1,1,1
23,1,F,Male,5,1,1,1,0,0
51,0,F,Male,3,2,1,1,1,1
30,0,F,Male,7,1,1,0,1,1
25,0,M,Male,0,0,1,0,0,1
24,0,M,Female,7,1,0,1,1,1
34,1,F,Male,12,1,1,1,1,1
28,0,M,Female,0,0,0,1,0,1
35,0,M,Female,1,0,1,1,0,1
51,0,M,Male,1,1,0,0,0,1
32,0,M,Male,2,1,1,1,1,1
33,0,M,Male,1,1,0,1,1,1
46,0,F,Male,2,7,0,0,1,1
31,1,M,Male,2,15,0,0,0,1
22,1,F,Male,1,1,0,1,0,1
47,1,F,Male,1,0,0,1,0,1
30,1,M,Male,10,1,1,0,1,1
28,0,F,Female,0,29,1,0,1,0
35,0,F,Female,2,1,1,0,0,1
22,1,F,Male,4,260,1,1,1,0
27,1,M,Female,3,0,1,0,1,1
56,0,M,Male,3,0,0,1,1,1
25,0,F,Male,4,183,0,1,1,1
40,0,F,Male,1,1,1,0,1,1
31,0,F,Male,0,1,0,0,1,1
48,1,M,Male,0,0,0,0,1,1
37,0,M,Male,0,0,0,1,1,1
37,0,M,Female,0,0,0,0,1,1
24,1,F,Female,2,1,1,1,1,1
31,1,M,Male,3,0,0,1,0,1
30,1,F,Male,1,33,0,1,1,0
27,0,F,Male,0,2,0,1,0,1
21,0,F,Male,0,5,1,0,1,0
28,0,F,Female,0,1,0,1,1,1
27,1,F,Male,0,1,0,1,1,1
24,1,F,Male,0,1,0,1,1,1
46,0,M,Male,0,1,1,1,0,1
25,0,F,Male,0,1,1,0,0,1
40,0,F,Male,0,1,0,1,0,1
33,1,M,Male,9,2,1,0,1,0
37,1,F,Male,0,0,1,0,0,1
27,0,M,Male,1,2,1,0,0,1
28,1,F,Male,11,0,1,0,1,0
26,0,M,Female,1,0,0,1,1,1
44,1,F,Male,0,1,0,1,1,1
39,1,F,Male,17,35,0,1,0,1
30,0,F,Male,0,5,0,0,1,1
25,0,M,Male,2,2,1,1,0,1
46,0,F,Male,2,0,1,1,0,0
67,1,M,Male,2,0,0,0,0,1
43,1,M,Female,22,26,0,0,0,0
20,0,F,Male,0,0,1,1,0,1
30,0,M,Male,2,6,0,0,1,0
43,0,F,Female,7,8,0,0,0,0
27,1,F,Male,0,1,0,1,1,1
32,1,F,Male,22,0,1,0,1,0
28,1,F,Male,18,0,1,1,1,0
22,0,F,Female,2,2,1,1,1,0
40,1,F,Male,8,40,0,0,1,1
22,1,M,Male,0,1,0,0,1,1
38,0,F,Male,2,8,0,1,0,1
20,0,F,Female,0,0,1,1,0,1
49,0,M,Male,0,1,0,1,0,1
21,0,M,Female,0,0,1,1,0,1
40,0,M,Male,1,1,0,1,0,1
20,1,F,Male,2,1,1,1,0,1
29,0,F,Male,1,0,0,0,1,1
39,0,M,Male,0,1,0,0,0,1
49,1,F,Male,3,0,1,0,0,0
63,0,M,Male,0,0,0,1,1,1
30,0,F,Male,2,0,0,0,0,1
28,0,F,Female,1,9,0,1,1,1
65,1,M,Female,1,1,0,0,0,1
28,0,M,Female,1,0,0,0,1,1
21,1,F,Female,0,4,1,1,0,1
25,1,F,Male,1,28,1,0,1,1
32,0,M,Male,1,0,1,1,1,1
47,0,F,Male,4,0,1,0,0,1
40,0,M,Female,0,0,0,0,0,1
29,0,F,Female,0,28,0,1,0,1
38,0,M,Male,0,-1,1,1,1,1
29,0,F,Male,4,1,1,0,1,1
27,0,M,Female,1,0,1,0,0,1
28,1,F,Female,3,4,1,0,0,1
36,1,F,Male,5,0,0,1,0,1
21,1,F,Male,0,1,1,0,0,1
52,1,M,Male,0,4,1,0,0,1
24,0,F,Female,0,1,0,1,0,0
33,0,F,Male,0,0,1,0,1,1
34,1,M,Male,5,6,0,1,1,1
22,1,F,Male,1,1,1,1,1,1
25,1,F,Male,1,0,1,0,1,1
31,0,M,Male,1,117,0,1,0,1
35,0,F,Female,9,173,1,0,0,0
26,0,M,Male,0,1,0,1,0,1
22,1,M,Male,1,5,0,0,0,0
45,1,F,Male,15,330,1,0,1,0
25,1,F,Male,7,127,1,0,0,0
45,1,F,Male,1,27,0,0,1,1
21,1,M,Male,0,0,0,0,1,1
19,1,M,Female,0,1,1,1,1,0
23,0,M,Male,1,0,1,0,1,1
33,1,F,Male,1,3,1,1,1,1
29,1,F,Female,2,10,1,0,0,1
31,1,F,Male,19,0,1,1,1,0
42,0,F,Male,0,1,1,0,0,1
35,0,F,Male,1,74,0,1,0,1
44,0,F,Male,6,1,1,0,0,1
62,0,M,Female,0,0,0,0,0,1
29,0,M,Male,0,0,1,1,0,1
26,0,F,Male,0,0,0,1,0,1
28,0,F,Male,5,51,1,1,1,0
22,1,F,Male,5,4,0,0,0,0
21,1,M,Female,1,1,1,0,0,1
27,0,F,Male,8,68,0,0,1,1
26,1,F,Male,2,1,0,0,1,0
74,0,M,Male,0,1,0,0,0,1
30,1,F,Male,13,1,0,1,1,0
31,0,F,Male,1,13,1,0,1,1
56,1,M,Female,2,0,1,1,0,1
23,1,F,Male,2,7,1,1,1,0
30,0,M,Female,0,1,1,1,1,1
29,0,F,Male,0,0,1,1,1,1
44,0,M,Male,0,2,1,1,1,1
52,1,F,Male,6,1,0,0,1,1
24,0,F,Male,0,-1,1,0,1,1
25,0,F,Male,2,9,0,1,0,1
31,1,F,Male,4,5,0,0,0,1
30,1,M,Male,0,1,0,1,1,1
51,0,M,Male,0,91,0,0,1,1
45,1,F,Male,5,1,0,0,1,1
21,1,F,Male,3,0,1,1,0,1
21,0,F,Male,1,0,0,1,0,1
36,0,F,Male,6,84,1,0,0,1
26,0,F,Male,2,0,0,1,0,1
20,1,F,Male,4,1,1,0,1,0
27,0,M,Female,0,1,1,1,0,1
27,1,M,Female,0,0,0,0,0,1
42,0,F,Male,0,2,0,1,0,1
51,0,M,Female,2,0,0,0,1,1
25,1,M,Male,4,9,1,1,0,1
49,0,F,Male,0,-1,0,0,0,1
21,1,M,Male,0,1,1,0,0,1
43,0,M,Female,0,0,0,0,1,1
32,0,F,Male,3,1,1,1,0,1
27,1,F,Female,0,2,0,1,1,1
32,1,M,Male,13,38,1,0,1,0
38,0,F,Male,0,1,0,0,0,1
46,0,F,Male,3,2,1,0,0,1
27,0,M,Male,4,1,1,0,0,1
47,0,M,Male,0,1,1,1,0,1
39,1,F,Female,4,1,0,0,1,1
21,1,F,Male,0,0,1,1,1,1
21,0,F,Male,1,1,0,0,1,1
34,0,M,Female,4,0,0,0,0,1
47,1,F,Male,4,64,1,1,1,0
22,0,M,Male,1,24,0,1,1,1
22,0,F,Male,0,1,0,1,0,1
38,1,F,Male,9,13,1,0,0,0
24,1,F,Female,2,57,1,1,0,1
23,0,F,Male,2,71,1,1,0,0
61,0,M,Male,0,-1,0,1,1,1
57,0,F,Male,19,3,1,0,1,1
34,0,M,Female,0,0,0,1,1,1
33,0,F,Male,8,2,1,1,0,1
61,0,M,Male,0,0,0,0,1,1
33,1,F,Male,0,0,1,1,0,1
35,0,M,Male,0,1,0,0,1,1
25,0,F,Male,2,29,0,1,1,1
26,0,F,Male,0,0,1,1,1,1
28,0,M,Male,5,27,1,1,0,1
51,1,M,Female,0,1,0,1,1,1
58,0,F,Male,1,3,0,0,0,1
26,0,F,Male,2,1,1,1,1,1
72,0,F,Male,3,4,0,0,0,1
52,0,F,Male,0,0,0,1,0,1
23,0,F,Male,2,1,0,0,1,1
26,0,F,Male,2,0,1,0,0,1
23,1,F,Male,8,255,1,0,0,0
20,0,F,Male,1,0,0,0,0,1
24,0,M,Male,0,0,1,1,1,1
29,0,M,Male,1,3,1,1,1,1
22,1,F,Male,0,6,0,1,0,1
24,0,M,Male,0,1,1,0,0,1
53,0,F,Female,5,1,1,1,1,1
27,1,F,Male,2,132,1,0,1,1
53,0,M,Male,1,0,1,0,1,1
34,1,F,Male,1,0,0,0,0,1
31,1,M,Female,3,0,1,1,0,1
21,1,M,Male,1,1,1,1,0,1
27,1,M,Male,2,0,1,0,0,1
38,0,M,Female,0,1,0,1,1,1
34,0,F,Female,0,0,1,0,0,1
37,1,M,Male,4,1,1,1,0,1
67,0,M,Male,0,0,0,1,0,1
23,0,F,Male,2,0,0,0,1,1
37,1,F,Male,20,35,1,1,0,0
21,1,M,Male,5,1,1,1,0,1
27,0,F,Male,3,12,1,1,0,1
21,0,M,Male,0,1,0,1,1,1
42,1,F,Male,0,33,1,1,0,1
23,0,M,Male,0,3,1,0,0,0
29,1,F,Male,0,1,0,0,1,1
44,0,M,Male,1,0,1,1,1,1
24,0,F,Male,0,2,1,0,0,1
50,0,M,Male,0,1,0,0,0,1
35,0,F,Female,4,2,1,1,1,1
36,0,M,Female,0,0,1,0,1,1
28,1,M,Male,0,1,1,0,1,1
27,1,F,Female,0,2,0,1,0,1
23,1,F,Male,3,6,1,0,0,1
28,1,F,Male,5,0,1,1,1,1
50,0,M,Female,0,1,1,1,1,1
49,0,M,Female,4,3,0,0,0,1
43,0,F,Male,5,0,0,1,0,1
28,0,F,Male,21,1,1,1,0,0
24,0,F,Male,6,1,0,1,1,0
21,1,F,Male,0,8,1,1,1,0
21,0,F,Male,1,156,1,1,1,1
43,0,F,Male,1,1,0,0,0,1
42,0,F,Male,0,0,0,1,1,1
44,1,M,Male,8,9,1,1,0,0
24,0,F,Male,0,0,1,1,1,1
24,1,F,Male,0,0,0,1,1,1
57,0,F,Male,7,151,0,1,1,1
26,0,M,Male,0,0,1,1,1,1
59,0,M,Male,4,0,1,0,1,1
38,0,M,Male,8,1,1,1,1,1
23,0,M,Male,1,0,0,0,0,1
21,1,F,Male,0,12,1,0,1,1
43,0,F,Male,2,1,0,0,1,1
34,0,M,Male,3,5,0,1,0,1
22,1,F,Female,4,2,1,1,1,0
25,1,F,Male,3,2,1,0,1,1
51,1,F,Male,9,35,1,0,1,0
44,1,F,Male,6,118,0,0,1,1
39,1,F,Female,11,1,0,1,1,1
24,1,F,Male,0,-1,1,1,0,1
20,1,F,Male,2,33,1,0,0,0
34,1,F,Male,2,9,0,1,0,1
21,1,F,Male,0,1,0,0,0,0
46,0,F,Male,9,5,1,1,1,1
27,1,M,Male,0,0,1,1,1,1
35,0,F,Male,4,169,0,1,1,1
50,0,F,Male,0,30,0,1,1,1
29,1,F,Female,1,1,0,0,1,1
54,1,F,Male,6,13,1,1,0,1
29,1,M,Male,1,0,1,0,1,1
43,0,M,Male,0,0,0,1,0,1
41,0,F,Male,0,177,1,1,1,1
29,1,M,Male,4,7,0,1,1,1
43,1,F,Male,11,76,0,0,0,1
44,0,M,Male,0,34,1,1,1,1
41,1,M,Male,5,0,0,1,0,1
27,1,F,Male,0,47,0,0,0,0
24,1,F,Male,2,19,1,1,1,0
26,0,F,Female,1,8,0,1,1,1
23,1,F,Male,2,6,1,1,0,0
43,0,M,Female,9,1,1,0,0,0
20,1,F,Male,0,7,1,0,0,1
69,0,F,Male,0,0,0,0,0,1
22,0,F,Male,0,2,0,1,1,1
20,1,F,Male,0,1,0,0,1,1
28,0,F,Male,0,0,0,1,0,1
57,0,F,Male,0,6,0,1,1,1
26,0,M,Female,1,0,0,0,0,1
55,0,M,Male,2,13,0,0,0,1
59,0,F,Male,1,1,1,0,1,1
23,0,F,Female,1,0,1,0,1,1
33,1,F,Male,4,1,0,1,0,1
21,1,F,Male,0,0,0,0,1,0
21,1,F,Male,0,1,1,0,0,1
24,1,F,Male,3,0,1,1,0,0
22,1,F,Male,1,0,0,1,0,1
24,1,M,Male,3,8,0,0,0,0
36,0,M,Female,1,1,0,1,0,1
21,1,F,Male,0,-1,0,1,0,1
31,1,F,Male,5,1,0,0,1,1
48,1,M,Male,1,0,0,1,0,1
46,1,F,Male,14,0,0,0,1,1
37,1,F,Male,23,17,1,0,0,0
31,0,M,Male,0,0,1,0,0,1
24,1,M,Male,0,0,1,1,0,1
25,0,F,Male,2,1,1,1,0,1
30,0,F,Female,0,-1,1,1,1,1
23,1,F,Male,0,0,1,0,0,1
26,1,F,Male,1,2,0,1,0,1
28,0,F,Male,3,1,0,0,1,1
61,0,M,Male,14,1,1,0,0,1
48,0,F,Male,6,1,1,1,0,1
27,1,M,Female,0,0,0,1,1,0
39,0,M,Male,0,2,0,1,1,1
47,0,M,Female,0,0,0,1,0,1
30,1,M,Male,7,2,1,0,1,0
24,1,F,Male,3,44,1,1,0,0
52,1,M,Male,7,0,1,1,0,1
26,1,F,Female,1,1,1,0,0,1
24,1,F,Male,1,75,1,1,0,1
43,0,M,Male,1,1,0,0,0,1
22,1,F,Male,1,15,1,1,0,1
28,0,F,Female,5,0,1,1,1,0
34,0,M,Female,1,3,0,0,1,1
37,0,F,Male,0,0,0,0,1,1
39,0,F,Male,1,1,0,1,0,1
31,0,M,Male,0,2,0,0,1,1
43,0,F,Male,2,0,1,0,1,1
35,0,F,Female,2,14,1,1,1,1
36,0,F,Male,0,1,1,1,1,0
25,0,F,Male,0,0,1,1,1,1
40,1,F,Male,8,0,0,0,1,1
27,0,M,Male,1,1,0,0,0,1
35,1,F,Male,1,0,1,0,1,1
32,0,M,Male,0,0,0,0,1,1
25,1,M,Male,6,1,0,0,0,1
24,0,F,Male,1,1,0,1,0,1
25,1,F,Male,3,5,1,1,0,1
62,0,M,Male,0,2,0,1,0,1
58,1,F,Female,0,1,0,1,0,1
19,1,F,Male,1,3,1,1,0,1
60,0,M,Male,1,1,0,1,0,1
50,1,M,Male,9,28,0,0,0,1
35,0,F,Male,0,101,0,0,0,1
23,0,F,Male,1,1,1,1,0,1
22,1,F,Male,1,0,0,1,1,1
22,1,F,Male,0,1,1,0,1,0
